Institución que abrió la licitación,Institución Destino,Fecha de apertura,Mantenimiento de la oferta,Código de licitación,N° Expediente,Descripción Extraida,Producto,Cantidad,Unidades,Nro Renglón,Línea de Producto,Latitud,Longitud
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,"FORMULA LIQUIDA NUTRICIONALMENTE COMPLETA Y BALANCEADA ISOCALORICA, DE BAJO RESIDUO(LISTA PARA USAR) T/ NUTRISON, STANDARD, OSMOLITE",NUTRISON PACK  STD. 1000ML,5,UN,35,Nutrison,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL COMPLETO Y BALANCEADO VIA ORAL CON HMB. BOT. 237ML ENSURE ADVANCE SHAKE,FORTISIP VAINILLA BOTELLA X 200ML,82,UN,36,Fortisip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL COMPLETO Y BALANCEADO VIA ORAL CON HMB. BOT. 237ML ENSURE ADVANCE SHAKE,FORTISIP COMPACT VAN 24X125ML PB AR,82,UN,36,Fortisip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL LIQUIDO PARA PACIENTES DIABETICOS PARA ADMINISTRACION POR VIA ORAL TIPO DIASIP/GLUCERNA SR/DIBEN,DIASIP VAINILLA X 4 X 200 ML,68,UN,37,Diasip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL LIQUIDO VIA ORAL HIPERCALORICO E HIPERPROTEICO ENSURE PLUS /FORTISIP/FRESUBIN/ENBRACE X200ML,FORTISIP VAINILLA BOTELLA X 200ML,162,UN,38,Fortisip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,"FORMULA ESPECIALMENTE DISEÑADA PARA LACTANTES CON SINTOMAS ASOCIADOS AL REFLUJO GASTROESOFAGICO TIPO ENFABEBE AR VITAL AR, NUTRILON AR",NUTRILON AR 1 LATA X 400G,400,UN,39,Nutrilon,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,"FORMULA ESPECIALMENTE DISEÑADA PARA LACTANTES CON SINTOMAS ASOCIADOS AL REFLUJO GASTROESOFAGICO TIPO ENFABEBE AR VITAL AR, NUTRILON AR",VITAL AR LATA X 400G,400,UN,39,Vital,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,FORMULA LACTEA DE CONTINUACION EN POLVO (DESDE 6 MESES A 1AÑO DE EDAD) TIPO VITAL INF.II- LATA CON CIERRE HERMERICO,VITAL 2 LICITACIONES POUCH X 1KG,270,UN,40,Vital,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,FORMULA LACTEA DE INICIO EN POLVO (DESDE EL NACIMINETO HASTA ÑPS 6 MESES DE EDAD) TIPO VITAL INFANTIL I- LATA CON CIERRE HERMETICO X900GR APROX,VITAL 1 X 800G,660,UN,41,Vital,-34.5112578,-58.4906088
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,MÓDULO DE CASEINATO DE CALCIO MÓDULO PROTEICO 250 GRS. LATA,SECALBUM LATA X 225 GR,10,GRS,5,Secalbum,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,MÓDULO DE ALMIDON DE MAIZ MODIFICADO ESPESANTE P/LÍQUIDOS 300 GRS. LATA,ESPESAN PLUS (NUTILIS) 12X300G ARG,12,GRS,7,Espesan,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,"FÓRMULA COMPLETA EN POLVO PARA PEDIATRÍA LÁCTEA DE INICIO (0 A 6 MESES) 0.67KCAL/ML 800G-1000G LATA Ó CAJA - UNIDAD - PROTEÍNAS, SUERO/CASEÍNA (60/40)",VITAL 1 LICITACIONES POUCH X 1KG,150,G,8,Vital,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,"FÓRMULA COMPLETA EN POLVO PARA PEDIATRÍA LÁCTEA DE INICIO (0 A 6 MESES) 0.67KCAL/ML 800G-1000G LATA Ó CAJA - UNIDAD - PROTEÍNAS, SUERO/CASEÍNA (60/40)",NUTRILON 1 LATA X 800G,150,G,8,Nutrilon,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,"FÓRMULA COMPLETA EN POLVO PARA PEDIATRÍA LÁCTEA PARA PREMATURO Y/O BAJO PESO AL NACER 0.67-079KCAL/ML 400 GRS. - LATA - UNIDAD PROTEÍNAS, SUERO/CASEÍNA (60-40 Ó 70/30)",NUTRILON PREMATUROS 1 X 400GR,30,GRS,9,Nutrilon,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,FÓRMULA COMPLETA LISTA PARA USAR EN PEDIATRÍA LÁCTEA DE INICIO (0-6MESES) 0.67KCAL/ML 200-250ML-BRICK-UNIDAD PROTEÍNAS SUERO/CASEÍNA (60/40),VITAL 1 X 200 ML,2500,ML,10,Vital,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,FÓRMULA COMPLETA LISTA PARA USAR EN PEDIATRÍA LÁCTEA DE INICIO (0-6MESES) 0.67KCAL/ML 200-250ML-BRICK-UNIDAD PROTEÍNAS SUERO/CASEÍNA (60/40),VITAL 1 X 200 ML,1000,ML,11,Vital,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,FÓRMULA EN POLVO-NUTRICIONALMENTE COMPLETA - SIN FIBRA VARIOS SABORES/NEUTRO 1 CAL/ML 325/460 GRS. LATA,FORTISIP MAX NEUTRO LATA X 350G,200,GRS,12,Fortisip,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,FÓRMULA ENTERAL LISTA P/USAR NORMOCALORICA-NORMOPROTEICA PROTEÍNA ENTERA- SIN FIBRAS 1 CAL/ML 1000 ML,NUTRISON PACK  STD. 1000ML,1600,ML,13,Nutrison,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,FÓRMULA COMPLETA LISTA PARA USAR EN PEDIATRÍA-NORMOCALÓRICA-PROTEÍNA ENTERA SIN LACTOSA (1-6 AÑOS Ó 8-20KG) Ó (1-12 AÑOS) 1KCAL/ML 500ML - PACK CERRADO - UNIDAD,NUTRINI ENERGY MF  OPTRI X 500ML,800,ML,14,Nutrini,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,FÓRMULA COMPLETA LISTA PARA USAR EN PEDIATRÍA-NORMOCALÓRICA-PROTEÍNA ENTERA SIN LACTOSA (1-6 AÑOS Ó 8-20KG) Ó (1-12 AÑOS) 1KCAL/ML 500ML - PACK CERRADO - UNIDAD,"**D**NUTRINI STANDARD PACK 0,5 L.",800,ML,14,Nutrini,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,"FÓRMULA ENTERAL LISTA P/USAR - HIPERCALORICA-HIPERPROTEICA-PROTEINA HIDROLIZADA- SIN FIBRA- TAURINA, CARNITINA, ARGININA 1.3 CAL/ML 1000 ML ESPECÍFICA P/PACIENTES C/ESTRÉS METABÓLICO",NUTRISON ADVANCED PEPTISORB PA 1000ML,50,ML,15,Nutrison,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,"FÓRMULA ENTERAL LISTA P/USAR - HIPERCALORICA-HIPERPROTEICA-PROTEINA HIDROLIZADA- SIN FIBRA- TAURINA, CARNITINA, ARGININA 1.3 CAL/ML 1000 ML ESPECÍFICA P/PACIENTES C/ESTRÉS METABÓLICO",NUTRISON PROTEIN INTENSE BOTELLA X 500ML,50,ML,15,Nutrison,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,"FÓRMULA ENTERAL LISTA P/USAR -NORMOCALORICA-HIPERPROTEICA PROTEINA HIDROLIZADA-SIN FIBRAS-P/PACIENTES ESTRESADOS/ALTO REQUERIMIENTO PROTEICO 1 CAL/ML-500 ML GLUTAMINA,ARGININA",NUTRISON ADVANCED PEPTISORB PA 1000ML,200,ML,16,Nutrison,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,"FÓRMULA ENTERAL LISTA P/USAR -NORMOCALORICA-HIPERPROTEICA PROTEINA HIDROLIZADA-SIN FIBRAS-P/PACIENTES ESTRESADOS/ALTO REQUERIMIENTO PROTEICO 1 CAL/ML-500 ML GLUTAMINA,ARGININA",NUTRISON PROTEIN INTENSE BOTELLA X 500ML,200,ML,16,Nutrison,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,FÓRMULA ENTERAL LISTA P/USAR NORMOCALORICA-NORMOPROTEICA PROTEINA ENTERA-CONFIBRAS-ESPECIFICA P/ HIPERGLUCEMINA/DIABETES - 1 CAL/ML 1000 ML,NUTRISON ADVANCED DIASON PACK X 1L,800,ML,17,Nutrison,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,FÓRMULA COMPLETA EN POLVO PARA PEDIATRÍA PROTEÍNAS PARCIALMENTE HIDROLIZADAS-SIN LACTOSA 0.67KCAL/ML 400G. LATA-UNIDAD CASEINATO DE SODIO HIDROLIZADO 100%,KAS 1000 LATA X 400G,100,GRS,18,Kas 1000,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,FÓRMULA COMPLETA EN POLVO PARA PEDIATRÍA PROTEÍNAS PARCIALMENTE HIDROLIZADAS-SIN LACTOSA 0.67KCAL/ML 400G. LATA-UNIDAD CASEINATO DE SODIO HIDROLIZADO 100%,NUTRILON PEPTI JUNIOR LATA X 400G,100,GRS,18,Nutrilon,,
MUNICIPALIDAD DE ESTEBAN ECHEVERRÍA,HOSPITAL SANTAMARINA,2024-09-26,1 Mes,4631,4795,"ALIMENTACION ENTERAL - SUPLEMENTO NUTRITIVO ESPECIAL TIPO KAS100 A BASE DE CASEINATO DE SODIO HIDROLIZADO Y MALTODEXTRINA, PARA LACTANTES Y NIÑOS EN LA PRIMERA INFANCIA. LIBRE DE GLUTEN - PRESENTACION X 400GR",KAS 1000 LATA X 400G,10000,C/U,3,Kas 1000,-34.8191362,-58.4669266
MUNICIPALIDAD DE ESTEBAN ECHEVERRÍA,HOSPITAL SANTAMARINA,2024-09-26,1 Mes,4631,4795,ALIMENTACION ENTERAL - TIPO LECHE ANTIREFLUJO A.R - PRESENTACION X 400GR,VITAL AR LATA X 400G,10000,C/U,5,Vital,-34.8191362,-58.4669266
MUNICIPALIDAD DE ROSARIO,HOSPITAL DE NIÑOS VICTOR J. VILELA,2025-02-11,30 días,03-005/2025,30050/2025,FORMULA COMPLETA PEDIATRICA HIPERCALORICA (1.5 CAL/ML) LIQ X 250 ML APROX (FREBINI DRINK O SIMIL),FORTINI COMPACT MF FRUT BOT 125 ML,96,LIQ,10,Fortini,-32.94713,-60.6322023
MUNICIPALIDAD DE ROSARIO,HOSPITAL DE NIÑOS VICTOR J. VILELA,2025-02-11,30 días,03-005/2025,30050/2025,TRIGLICERIDOS DE CADENA MEDIANA SOL X 500 ML APROX (TCM- MCT OIL O SIMIL),ACEITE MCT NUTRICIA 500 ML,6,ML,28,MCT Oil,-32.94713,-60.6322023
HOSPITAL MATERNO INFANTIL SAN ROQUE,HOSPITAL MATERNO INFANTIL SAN ROQUE,2025-02-20,30 dias habiles,438/2025,,LECHE ENTERA EN POLVO X 800 GRS O 1 KG,NUTRILON 1 LATA X 800G,180,GRS,2,Nutrilon,-31.73,-60.5217
HOSPITAL PROVINCIAL DE ROSARIO,HOSPITAL PROVINCIAL DE ROSARIO,2025-02-19,90 días,2025-11-01 00:00:00,298/25,Formula enteral liquida x litro(Fresubin original),NUTRISON PACK  STD. 1000ML,270,LITRO,8,Nutrison,-32.9561037,-60.6310329
HOSPITAL PROVINCIAL DE ROSARIO,HOSPITAL PROVINCIAL DE ROSARIO,2025-02-19,90 días,2025-11-01 00:00:00,298/25,Formula hipercalorica hiperproteica x 500 ml,NUTRISON PROTEIN INTENSE BOTELLA X 500ML,180,ML,9,Nutrison,-32.9561037,-60.6310329
HOSPITAL PROVINCIAL DE ROSARIO,HOSPITAL PROVINCIAL DE ROSARIO,2025-02-19,90 días,2025-11-01 00:00:00,298/25,Formula Hipercalorica liquida 200 ml,FORTISIP VAINILLA BOTELLA X 200ML,1700,ML,10,Fortisip,-32.9561037,-60.6310329
HOSPITAL PROVINCIAL DE ROSARIO,HOSPITAL PROVINCIAL DE ROSARIO,2025-02-19,90 días,2025-11-01 00:00:00,298/25,"Formula polimerica hipercalorica 1,5 kcal/ml x litro",NUTRISON PACK ENERGY 1000 ML,100,LITRO,11,Nutrison,-32.9561037,-60.6310329
HOSPITAL PROVINCIAL DE ROSARIO,HOSPITAL PROVINCIAL DE ROSARIO,2025-02-19,90 días,2025-11-01 00:00:00,298/25,Hidrolizado extenso de proteina de leche de vaca,NUTRILON PEPTI JUNIOR LATA X 400G,60,G,13,Nutrilon,-32.9561037,-60.6310329
HOSPITAL PROVINCIAL DE ROSARIO,HOSPITAL PROVINCIAL DE ROSARIO,2025-02-19,90 días,2025-11-01 00:00:00,298/25,Proteina a base de Caseinato lata 250 g polvo (tipo SECALBUM),SECALBUM LATA X 225 GR,12,G,14,Secalbum,-32.9561037,-60.6310329
HOSPITAL TEODORO SCHESTAKOW,HOSPITAL TEODORO SCHESTAKOW,2025-02-12,30 Días hábiles,20803-0030-CDI25,EX-2025-00902404- -GDEMZA-HSCHESTAKOW#MSDSYD,ACEITE DE TRIGLICÉRIDOS Presentación: X 500 ML,ACEITE MCT NUTRICIA 500 ML,10,UNIDAD/S,2,MCT Oil,-34.6200977,-68.3252993
GOBIERNO DE LA PROVINCIA DE SAN LUIS,DIRECCION FARMACOS E INSUMOS MEDICOS,,30 días corridos,CONCURSO DE PRECIOS Nº 714-MHeIP-DCyC-2025,EXD Nº 01230503/2025,MEDICAMENTOS- Tipo Nutricion Hipercalorica liquida- Envase x 200 cc - Contenido 1 UNIDAD,FORTISIP VAINILLA BOTELLA X 200ML,2800,UNIDAD,1,Fortisip,-33.3041501,-66.294658
HOSPITAL DR. RENÉ FAVALORO,HOSPITAL DR. RENÉ FAVALORO,,,91/2024,,OPCIÓN 1: PROTEIN INTENSE DE 500ML,NUTRISON PROTEIN INTENSE BOTELLA X 500ML,360,,1,Nutrison,-34.704399,-58.6393522
HOSPITAL DR. RENÉ FAVALORO,HOSPITAL DR. RENÉ FAVALORO,,,91/2024,,OPCIÓN 1: FRESUBIN ORIGINAL FIBRA DE 1000ML,NUTRISON PACK MULTI FIBRE 1000,24,,3,Nutrison,-34.704399,-58.6393522
HOSPITAL DR. RENÉ FAVALORO,HOSPITAL DR. RENÉ FAVALORO,,,91/2024,,OPCIÓN 1: FRESUBIN ORIGINAL FIBRA DE 1000ML,NUTRISON PACK  STD. 1000ML,24,,3,Nutrison,-34.704399,-58.6393522
HOSPITAL DR. RENÉ FAVALORO,HOSPITAL DR. RENÉ FAVALORO,,,91/2024,,OPCIÓN 2: NUTRISON MULTI FIBRE DE 1000ML,NUTRISON PACK MULTI FIBRE 1000,24,,3,Nutrison,-34.704399,-58.6393522
HOSPITAL DR. RENÉ FAVALORO,HOSPITAL DR. RENÉ FAVALORO,,,91/2024,,"OPCIÓN 1: GLUCERNA 1,5 DE 1000ML",NUTRISON ADVANCED DIASON PACK X 1L,120,,4,Nutrison,-34.704399,-58.6393522
HOSPITAL DR. RENÉ FAVALORO,HOSPITAL DR. RENÉ FAVALORO,,,91/2024,,OPCIÓN 1: FRESUBIN DRINK DE 200ML,FORTISIP VAINILLA BOTELLA X 200ML,240,,8,Fortisip,-34.704399,-58.6393522
HOSPITAL DR. RENÉ FAVALORO,HOSPITAL DR. RENÉ FAVALORO,,,91/2024,,OPCIÓN 2: FORTISIP DE 200ML,FORTISIP VAINILLA BOTELLA X 200ML,240,,8,Fortisip,-34.704399,-58.6393522
HOSPITAL DR. RENÉ FAVALORO,HOSPITAL DR. RENÉ FAVALORO,,,91/2024,,OPCIÓN 2: DIASIP DE 200ML,DIASIP VAINILLA X 4 X 200 ML,72,,9,Diasip,-34.704399,-58.6393522
HOSPITAL BERNARDINO RIVADAVIA,HOSPITAL BERNARDINO RIVADAVIA,,30 días,PLIEG-2024-05385308-GCABA-HBR,,"NUTRICION ENTERAL - ALIMENTACIÓN ENTERAL REQUERIDA DEBERÁ TENER UN APORTE DE PROTEINAS DE SUERO 100% HIDROLIZADA, SIN APORTE DE FIBRA. COTIZAR POR LITRO.",NUTRISON ADVANCED PROTISON BTLLA X 500ML,1,LITRO,1,Nutrison,-34.5846894,-58.4016762
HOSPITAL BERNARDINO RIVADAVIA,HOSPITAL BERNARDINO RIVADAVIA,,30 días,PLIEG-2024-05385308-GCABA-HBR,,"NUTRICION ENTERAL - ALIMENTACIÓN ENTERAL REQUERIDA DEBERÁ TENER UN APORTE DE PROTEINAS DE SUERO 100% HIDROLIZADA, SIN APORTE DE FIBRA. COTIZAR POR LITRO.",NUTRISON ADVANCED PEPTISORB PA 1000ML,1,LITRO,1,Nutrison,-34.5846894,-58.4016762
HOSPITAL BERNARDINO RIVADAVIA,HOSPITAL BERNARDINO RIVADAVIA,,30 días,PLIEG-2024-05385308-GCABA-HBR,,SUPLEMENTO ENERGETICO (MALTO-DEXTRINA) 3 Aptitud 18 meses ,POLIMEROSA LATA X 320 G,3,UNIDAD,2,Polimerosa,-34.5846894,-58.4016762
HOSPITAL BERNARDINO RIVADAVIA,HOSPITAL BERNARDINO RIVADAVIA,,30 días,PLIEG-2024-05385308-GCABA-HBR,,"ALMIDON DE MAIZ MODIFICADO En polvo, para alimentación oral y espesar en forma instantánea, sin cocción, alimentos sólidos o líquidos; fríos o calientes Aptitud 18 meses",ESPESAN PLUS (NUTILIS) 12X300G ARG,25,UNIDAD,3,Espesan,-34.5846894,-58.4016762
HOSPITAL BERNARDINO RIVADAVIA,HOSPITAL BERNARDINO RIVADAVIA,,30 días,PLIEG-2024-05385308-GCABA-HBR,,"SUPLEMENTO NUTRICIONAL COMPLETO Líquido, de uso oral, saborizado. Libre de lactosa, Aptitud 18 meses",FORTISIP VAINILLA BOTELLA X 200ML,50,UNIDAD,4,Fortisip,-34.5846894,-58.4016762
HOSPITAL BERNARDINO RIVADAVIA,HOSPITAL BERNARDINO RIVADAVIA,,30 días,PLIEG-2024-05385308-GCABA-HBR,,"SUPLEMENTO NUTRICIONAL COMPLETO Líquido, de uso oral, saborizado. Libre de lactosa, Aptitud 18 meses",CUBITAN VAINILLA X 4 X 200 ML,50,UNIDAD,4,Cubitan,-34.5846894,-58.4016762
HOSPITAL BERNARDINO RIVADAVIA,HOSPITAL BERNARDINO RIVADAVIA,,30 días,PLIEG-2024-05385308-GCABA-HBR,,"SUPLEMENTO NUTRICIONAL COMPLETO Líquido, de uso oral, saborizado. Libre de lactosa, Aptitud 18 meses",FORTISIP COMPACT VAN 24X125ML PB AR,50,UNIDAD,4,Fortisip,-34.5846894,-58.4016762
HOSPITAL BERNARDINO RIVADAVIA,HOSPITAL BERNARDINO RIVADAVIA,,30 días,PLIEG-2024-05385308-GCABA-HBR,,"NUTRICION PARA DIABETICOS DE USO ORAL LIQUIDO Fibra, especial para diabéticos, con 1.5kcal/g, para alimentación oral libre de lactosa y gluten, listo para beber. Aptitud 18 meses",DIASIP VAINILLA X 4 X 200 ML,100,UNIDAD,6,Diasip,-34.5846894,-58.4016762
GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,BENEFICIARIOS DEL PROGRAMA INCLUIR SALUD DEPENDIENTE DEL MINISTERIO DE SALUD DEL GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,2024-06-18,20 dias,BAC 401-1006-LPU24,EE 23245378/GCABA-DGABS/24,HIDROLIZADO ENZIMATICO DE CASEINA - Composición aproximada por 100 g. de polvo: Proteínas: (Hidrolizado de caseína) 16 a 16.5 g. Lípidos totales: 24 a 25.0 g. Triglicéridos de cadena mediana:11 a 12.0 g. Aceite de girasol refinado:11 a 12.0 g. Lecitina: 1.0 g. Hidratos de carbono: (Dextrinomaltosa): 51. a 52 g. Minerales y Vitaminas: 3.5 a 4. g.,KAS 1000 LATA X 400G,1211,G,1,Kas 1000,-34.6082258,-58.3739631
GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,BENEFICIARIOS DEL PROGRAMA INCLUIR SALUD DEPENDIENTE DEL MINISTERIO DE SALUD DEL GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,2024-06-18,20 dias,BAC 401-1006-LPU24,EE 23245378/GCABA-DGABS/24,NUTRICION COMPLETA EN POLVO - Contiene una relación 4:1 (grasas: carbohidratos + proteínas) para alcanzar y mantener un estado de cetosis necesaria en el tratamiento de la epilepsia intratable o resistente al tratamiento con drogas. Alimento para propósitos médicos específicos.,KETOCAL 4:1 6X300G,162,G,2,Ketocal,-34.6082258,-58.3739631
